source,url,price,currency,title,image,condition,shipping
seed,#,1154.04,USD,Nike Air Force 1 White,,good,3.93
seed,#,674.97,USD,Apple MacBook Air White,,new,11.53
seed,#,79.35,USD,Samsung Galaxy S22 64GB Black,,like new,14.34
seed,#,530.89,USD,Apple MacBook Air Red,,new,4.43
seed,#,765.16,USD,Nike Air Force 1 White,,fair,
seed,#,177.6,USD,Nike Air Jordan 1 Silver,,like new,11.48
seed,#,854.08,USD,Dell XPS 13 Black,,poor,
seed,#,222.21,USD,Bose QuietComfort 35 Green,,like new,19.23
seed,#,734.48,USD,Apple iPhone 14 128GB Silver,,fair,4.98
seed,#,778.68,USD,Apple iPhone 11 512GB Black,,good,7.24
seed,#,787.31,USD,Google Pixel 6 64GB Blue,,new,21.45
seed,#,922.08,USD,Sony WH‑1000XM3 Blue,,fair,23.63
seed,#,795.87,USD,Bose QuietComfort 35 Silver,,poor,6.61
seed,#,1088.88,USD,Apple MacBook Pro White,,new,
seed,#,181.99,USD,Canon EOS 80D Green,,poor,
seed,#,588.06,USD,Samsung Galaxy S21 512GB Red,,good,7.59
seed,#,752.43,USD,Samsung Galaxy S21 512GB White,,poor,3.92
seed,#,506.5,USD,Apple iPhone 14 512GB Green,,fair,10.59
seed,#,325.41,USD,Samsung Galaxy S20 64GB Silver,,good,8.55
seed,#,1179.55,USD,Bose QuietComfort 35 White,,like new,28.16
seed,#,634.98,USD,Samsung Galaxy S20 512GB White,,poor,
seed,#,620.15,USD,Samsung Galaxy S21 256GB Blue,,fair,
seed,#,970.78,USD,Canon EOS 80D White,,good,
seed,#,429.15,USD,Apple iPhone 13 64GB Green,,new,
seed,#,636.29,USD,Canon EOS 80D Silver,,like new,22.91
seed,#,123.77,USD,Samsung Galaxy S20 64GB Black,,fair,10.1
seed,#,75.98,USD,Nikon D750 Green,,fair,2.65
seed,#,454.16,USD,Microsoft Surface Laptop Red,,like new,7.26
seed,#,391.75,USD,Apple iPhone 12 256GB Red,,poor,22.59
seed,#,970.86,USD,Canon EOS R6 Black,,good,22.22
seed,#,808.67,USD,Samsung Galaxy S20 256GB White,,new,15.97
seed,#,1027.92,USD,Lenovo ThinkPad T14 Silver,,new,
seed,#,1145.12,USD,Nike Air Jordan 1 Black,,new,
seed,#,498.2,USD,Apple MacBook Air White,,good,17.42
seed,#,203.76,USD,Canon EOS 80D Red,,good,24.04
seed,#,323.21,USD,Dell XPS 13 Red,,poor,7.13
seed,#,1178.22,USD,Bose QuietComfort 35 Black,,fair,
seed,#,949.29,USD,Apple iPhone 13 64GB Black,,poor,25.09
seed,#,931.83,USD,Sony WH‑1000XM3 Black,,fair,26.27
seed,#,546.01,USD,Canon EOS 80D Blue,,good,9.42
seed,#,1050.67,USD,Samsung Galaxy S20 128GB Silver,,fair,16.9
seed,#,819.35,USD,Dell XPS 13 Blue,,like new,0.14
seed,#,730.05,USD,Lenovo ThinkPad X1 Red,,fair,
seed,#,531.14,USD,Dell XPS 13 Green,,good,5.6
seed,#,237.16,USD,Nike Air Jordan 1 White,,like new,23.4
seed,#,239.55,USD,Dell XPS 13 Green,,poor,13.68
seed,#,190.56,USD,Lenovo ThinkPad T14 White,,poor,20.82
seed,#,1008.77,USD,Dell XPS 15 Black,,like new,7.72
seed,#,1133.57,USD,Samsung Galaxy S20 256GB Green,,fair,29.99
seed,#,523.3,USD,Nikon D750 Blue,,fair,
seed,#,476.45,USD,Nikon D750 Blue,,poor,11.2
seed,#,561.62,USD,Apple iPhone 13 128GB Red,,poor,7.91
seed,#,249.42,USD,Apple MacBook Pro Silver,,new,15.03
seed,#,327.48,USD,Nikon Z6 White,,like new,
seed,#,962.71,USD,Nike Air Force 1 Black,,new,18.4
seed,#,251.81,USD,Samsung Galaxy S21 256GB Blue,,poor,
seed,#,418.0,USD,Nike Air Force 1 Red,,fair,
seed,#,958.66,USD,Dell XPS 15 Green,,poor,1.55
seed,#,649.32,USD,Dell XPS 13 Green,,fair,23.95
seed,#,98.76,USD,Nikon Z6 Black,,fair,
seed,#,755.3,USD,Dell XPS 15 Silver,,fair,12.56
seed,#,121.16,USD,Microsoft Surface Laptop Green,,new,5.54
seed,#,788.1,USD,Sony WH‑1000XM4 Red,,new,15.88
seed,#,1010.8,USD,Sony WH‑1000XM3 Red,,good,
seed,#,374.93,USD,Lenovo ThinkPad T14 Black,,good,20.4
seed,#,566.43,USD,Adidas UltraBoost Silver,,like new,28.93
seed,#,1155.53,USD,Dell XPS 13 Green,,poor,28.11
seed,#,684.38,USD,Apple iPhone 12 64GB Blue,,poor,2.76
seed,#,65.43,USD,Bose QuietComfort 35 Black,,like new,14.77
seed,#,764.02,USD,Samsung Galaxy S21 512GB Red,,new,6.11
seed,#,610.98,USD,Apple MacBook Pro Silver,,poor,22.43
seed,#,643.69,USD,Microsoft Surface Laptop Silver,,good,19.34
seed,#,518.92,USD,Google Pixel 5 512GB Green,,good,22.04
seed,#,895.28,USD,Samsung Galaxy S21 128GB Black,,fair,11.9
seed,#,1193.58,USD,Lenovo ThinkPad T14 Blue,,new,10.21
seed,#,320.4,USD,Sony WH‑1000XM4 Green,,poor,
seed,#,863.74,USD,Samsung Galaxy S21 256GB Silver,,like new,24.64
seed,#,976.08,USD,Canon EOS 80D White,,like new,17.38
seed,#,967.82,USD,Nike Air Jordan 1 Black,,new,27.77
seed,#,224.3,USD,Google Pixel 6 256GB Black,,good,11.28
seed,#,171.81,USD,Nikon Z6 Blue,,good,
seed,#,655.66,USD,Lenovo ThinkPad T14 Red,,new,
seed,#,965.3,USD,Adidas UltraBoost Blue,,new,
seed,#,977.27,USD,Apple iPhone 12 64GB White,,new,9.89
seed,#,75.2,USD,Sony WH‑1000XM4 Red,,good,4.38
seed,#,610.83,USD,Dell XPS 15 Silver,,fair,4.04
seed,#,1131.78,USD,Sony WH‑1000XM4 Blue,,poor,7.57
seed,#,419.38,USD,Bose QuietComfort 35 Silver,,new,3.15
seed,#,633.87,USD,Apple MacBook Pro Silver,,like new,7.58
seed,#,1024.4,USD,Lenovo ThinkPad X1 White,,new,19.96
seed,#,186.57,USD,Nikon D750 Green,,fair,24.29
seed,#,617.07,USD,Dell XPS 13 Blue,,poor,15.9
seed,#,508.71,USD,Bose QuietComfort 35 Black,,fair,
seed,#,1183.05,USD,Sony WH‑1000XM3 Red,,good,28.58
seed,#,669.18,USD,Sony WH‑1000XM4 Red,,poor,24.87
seed,#,1192.11,USD,Nikon Z6 Silver,,like new,8.79
seed,#,282.62,USD,Samsung Galaxy S20 512GB Red,,poor,
seed,#,121.01,USD,Dell XPS 15 White,,new,26.96
seed,#,593.05,USD,Apple iPhone 11 512GB Black,,good,5.66
seed,#,612.21,USD,Google Pixel 6 256GB Silver,,like new,20.25
seed,#,798.98,USD,Apple MacBook Pro Silver,,new,
seed,#,1159.52,USD,Nikon D750 White,,poor,19.57
seed,#,1120.48,USD,Bose QuietComfort 35 Black,,poor,25.93
seed,#,872.29,USD,Samsung Galaxy S20 256GB White,,poor,
seed,#,346.56,USD,Canon EOS R6 Blue,,like new,11.49
seed,#,316.28,USD,Apple iPhone 14 128GB Green,,new,26.43
seed,#,715.2,USD,Sony WH‑1000XM3 White,,good,0.56
seed,#,1110.52,USD,Lenovo ThinkPad T14 White,,poor,25.18
